frame,inliers,dx_px,dy_px,rot_deg,dt_ms
579,580,0.163,-2.219,1.767,20.43
580,552,-5.940,-3.033,2.753,39.40
581,578,1.227,-1.413,2.078,31.06
582,506,-0.079,-4.184,2.169,17.73
583,560,3.504,-5.449,1.752,18.70
584,552,15.856,-4.567,2.034,15.93
585,511,17.281,-13.474,4.311,16.42
586,547,11.745,-9.347,2.461,18.99
587,545,13.299,-12.162,2.842,21.61
588,536,10.830,-8.568,3.228,18.82
589,503,11.536,-5.326,3.505,15.76
590,508,5.303,-4.936,3.297,17.62
591,506,6.637,-4.591,3.077,16.35
592,503,15.000,-10.274,4.292,20.04
593,508,6.498,-5.858,2.765,18.97
594,504,8.806,-0.829,2.266,17.63
595,422,25.933,-1.309,1.975,19.79
596,480,27.271,-7.072,2.661,29.13
597,498,27.034,-10.007,2.939,22.42
598,489,23.097,-2.881,1.585,21.56
599,501,21.963,-6.789,1.949,17.22
